Localidad,Rubro,NomComercio,Direccion,Prefijo,NroTel,Dto,Provincia,ImgCooBUENOS AIRESp,ImgCoopLink,ImgComercio,Latitud,Longitud
BAHÍA BLANCA,INDUMENTARIA,LEGACY,ALSINA 175,291,4530314,15,BUENOS AIRES,,,CooperativaObrera,-38.7171699,-62.262808
BAHÍA BLANCA,INDUMENTARIA,LODS JEANS (ALSINA),ALSINA 255,291,4559220,15,BUENOS AIRES,,,CooperativaObrera,-38.7164864,-62.2619773
BAHÍA BLANCA,INDUMENTARIA,MADUS - BAHÍA BLANCA,ZELARRAYÁN Y 11 DE ABRIL,291,4534166,15,BUENOS AIRES,,,CooperativaObrera,-38.713548,-62.269115
BAHÍA BLANCA,INDUMENTARIA,MARGARITA,ALEM 2385,291,4885771,15,BUENOS AIRES,,,CooperativaObrera,-38.6905281,-62.2823119
BAHÍA BLANCA,INDUMENTARIA,MARÍA FERNANDA,RODRÍGUEZ 509,291,4530097,15,BUENOS AIRES,,,CooperativaObrera,-38.7183177,-62.2663478
BAHÍA BLANCA,INDUMENTARIA,MARIBE,R. DE ESCALADA 97,291,156494581,15,BUENOS AIRES,,,CooperativaObrera,-38.7325917,-62.2463303
BAHÍA BLANCA,JOYERÍA Y RELOJERÍA,BATTERY CENTER,SAN MARTÍN 339,,,15,BUENOS AIRES,,,CooperativaObrera,-38.7183177,-62.2663478
BAHÍA BLANCA,JOYERÍA Y RELOJERÍA,CAREY,BELGRANO 21,291,4557274,15,BUENOS AIRES,,,CooperativaObrera,-38.7197281,-62.2636134
BAHÍA BLANCA,JOYERÍA Y RELOJERÍA,JOSÉ CARUSO,CHICLANA 226,291,4543180,15,BUENOS AIRES,,,CooperativaObrera,-38.7198625,-62.2635103
BAHÍA BLANCA,JOYERÍA Y RELOJERÍA,JOYERÍA REIMS,DONADO 33,291,4532044,15,BUENOS AIRES,,,CooperativaObrera,-38.7204829,-62.2649468
BAHÍA BLANCA,JOYERÍA Y RELOJERÍA,JOYERÍA REIMS,BROWN 218,291,4545927,15,BUENOS AIRES,,,CooperativaObrera,-38.7217206,-62.2657494
BAHÍA BLANCA,JOYERÍA Y RELOJERÍA,KUBIC,ALSINA 195,291,4562479,15,BUENOS AIRES,,,CooperativaObrera,-38.7169769,-62.2626831
BAHÍA BLANCA,JOYERÍA Y RELOJERÍA,LILY JOYAS,FALUCHO 280,,,15,BUENOS AIRES,,,CooperativaObrera,-38.729898,-62.252406
BAHÍA BLANCA,JOYERÍA Y RELOJERÍA,RELOJERÍA EL VOLANTE,ESTOMBA 148,,,15,BUENOS AIRES,,,CooperativaObrera,-38.7171435,-62.2679914
BAHÍA BLANCA,JOYERÍA Y RELOJERÍA,VERDE ESMERALDA,CHICLANA 282,291,4535858,15,BUENOS AIRES,,,CooperativaObrera,-38.7204984,-62.2632686
BAHÍA BLANCA,JOYERÍA Y RELOJERÍA,ZAFIRO,ALSINA 342,291,4523397,15,BUENOS AIRES,,,CooperativaObrera,-38.7154112,-62.2612079
BAHÍA BLANCA,JUGUETERÍA,GIRO DIDÁCTICO - ALSINA,ALSINA 280,291,5345658,10,BUENOS AIRES,,,CooperativaObrera,-38.7160761,-62.261937
BAHÍA BLANCA,JUGUETERÍA,PETIT GIRO DIDÁCTICO,LAMADRID 94,291,4551404,10,BUENOS AIRES,,,CooperativaObrera,-38.7158189,-62.2616029
BAHÍA BLANCA,LIBRERÍA,ALLIPEN,SAN MARTÍN 160,291,4501449,15,BUENOS AIRES,,,CooperativaObrera,-38.7183177,-62.2663478
BAHÍA BLANCA,LIBRERÍA,CASA MARINERO,ITALIA 702,291,4527568,15,BUENOS AIRES,,,CooperativaObrera,-38.7183177,-62.2663478
BAHÍA BLANCA,LIBRERÍA,HENRY LIBROS,ALSINA 27,291,4547975,15,BUENOS AIRES,,,CooperativaObrera,-38.7187528,-62.2647691
BAHÍA BLANCA,LIBRERÍA,INTERPRESENTES,FALUCHO 277,291,4816183,15,BUENOS AIRES,,,CooperativaObrera,-38.729898,-62.252406
